dataset_id,version,timestamp,model_name,composite_score,cv_score,test_score,train_score,f1_score,roc_auc,rmse,mae,cv_std,overfit_gap,overfit_penalty,train_set_size,test_set_size,best_params
109544b2-3a8b-4b02-86f5-afd329490406,v1,2026-03-22T14:42:38.587179+00:00,knn,0.9221,0.9573,0.9217,1.0,,,6325.8386,5804.0536,0.0165,0.0783,0.0,24,6,"{""weights"": ""distance"", ""n_neighbors"": 3, ""metric"": ""manhattan""}"
109544b2-3a8b-4b02-86f5-afd329490406,v1,2026-03-22T14:42:38.587179+00:00,random_forest,0.886,0.9528,0.8842,0.9961,,,7690.1363,6966.3372,0.0231,0.1119,0.0095,24,6,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""min_impurity_decrease"": 0.0, ""max_features"": 0.5, ""max_depth"": 8}"
109544b2-3a8b-4b02-86f5-afd329490406,v1,2026-03-22T14:42:38.587179+00:00,elastic_net,0.8707,0.9448,0.8976,0.966,,,7231.9616,6388.8548,0.0355,0.0684,0.0,24,6,"{""l1_ratio"": 0.7, ""alpha"": 0.01}"
109544b2-3a8b-4b02-86f5-afd329490406,v1,2026-03-22T14:42:38.587179+00:00,ridge,0.8664,0.9342,0.9057,0.9573,,,6939.8914,5973.8925,0.0362,0.0516,0.0,24,6,"{""alpha"": 1.0}"
109544b2-3a8b-4b02-86f5-afd329490406,v1,2026-03-22T14:42:38.587179+00:00,lasso,0.8655,0.9447,0.8928,0.9665,,,7401.5199,6490.8619,0.0373,0.0737,0.0,24,6,"{""alpha"": 10.0}"
109544b2-3a8b-4b02-86f5-afd329490406,v1,2026-03-22T14:42:38.587179+00:00,linear_regression,0.8642,0.9449,0.8914,0.9665,,,7449.4361,6515.6819,0.0378,0.0752,0.0,24,6,{}
109544b2-3a8b-4b02-86f5-afd329490406,v1,2026-03-22T14:42:38.587179+00:00,gradient_boosting,0.8418,0.9482,0.8463,0.9995,,,8860.8597,8231.1403,0.0218,0.1532,0.0426,24,6,"{""subsample"": 0.6, ""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_depth"": 5, ""learning_rate"": 0.05}"
109544b2-3a8b-4b02-86f5-afd329490406,v1,2026-03-22T14:42:38.587179+00:00,decision_tree,0.3897,0.7663,0.6358,0.966,,,13639.4137,10548.3185,0.1368,0.3302,0.1842,24,6,"{""min_samples_split"": 10, ""min_samples_leaf"": 5, ""max_depth"": 6, ""ccp_alpha"": 0.005}"
109544b2-3a8b-4b02-86f5-afd329490406,v1,2026-03-22T14:42:38.587179+00:00,svm,-0.8171,-0.2296,-0.8194,-0.1488,,,30485.1255,22451.5822,0.1969,0.6706,0.4565,24,6,"{""kernel"": ""poly"", ""gamma"": ""auto"", ""C"": 10.0}"
109544b2-3a8b-4b02-86f5-afd329490406,v1,2026-03-22T14:42:38.587179+00:00,xgboost,-999.0,,,,,,,,,,,,,{}
